success,video_name,worker_id,duration,avg_processing_time_ms,avg_vehicle_count,avg_speed
True,cctv052x2004080516x01640.avi,2,4.0075037479400635,78.70653768380483,10.208333333333334,35.466447722551095
True,cctv052x2004080516x01638.avi,0,4.3393394947052,81.10975319484494,13.320754716981131,37.10136994695238
True,cctv052x2004080516x01639.avi,1,4.7537150382995605,85.52971426046119,14.30188679245283,37.303342555265075
True,cctv052x2004080516x01642.avi,4,4.461956024169922,86.28654479980469,12.196078431372548,32.58972540243297
True,cctv052x2004080516x01641.avi,3,4.6186137199401855,87.60837866709782,15.788461538461538,35.92430427756502
True,cctv052x2004080619x00098.avi,0,4.046631574630737,75.07130784808464,9.132075471698114,54.961618037061065
True,cctv052x2004080619x00102.avi,4,3.4555575847625732,65.743272121136,4.653846153846154,37.444467384059955
True,cctv052x2004080619x00099.avi,1,4.111518621444702,76.75073281773982,11.584905660377359,52.91108955817155
True,cctv052x2004080619x00101.avi,3,4.048195838928223,75.4330428141468,10.924528301886792,56.81610028920563
True,cctv052x2004080619x00100.avi,2,4.11234974861145,78.38310645176814,8.423076923076923,54.06150266985326
True,cctv052x2004080619x00103.avi,0,3.593163251876831,67.10543272630224,8.547169811320755,58.778227994502075
True,cctv052x2004080620x00105.avi,2,3.690282106399536,70.29995092978844,8.26923076923077,45.8657044643478
True,cctv052x2004080620x00107.avi,4,3.3541557788848877,62.44376470457833,3.9056603773584904,40.00064110158413
True,cctv052x2004080619x00104.avi,1,3.796358823776245,70.87484845575297,8.056603773584905,51.998754129302924
True,cctv052x2004080620x00106.avi,3,3.8911638259887695,72.77019968572652,9.867924528301886,63.63224430533448
