success,video_name,duration,avg_processing_time_ms,avg_vehicle_count,avg_speed
True,cctv052x2004080516x01638.avi,17.832823514938354,335.5568354984499,12.18867924528302,41.669325447237284
True,cctv052x2004080516x01639.avi,18.495166540145874,348.25235942624647,11.169811320754716,37.039314048201845
True,cctv052x2004080516x01640.avi,16.476289749145508,342.3963040113449,8.958333333333334,36.14366317304023
True,cctv052x2004080516x01641.avi,17.967094659805298,344.55935313151434,15.096153846153847,33.28751655166362
True,cctv052x2004080516x01642.avi,16.750232934951782,327.69103143729416,8.803921568627452,34.368392800400805
True,cctv052x2004080619x00098.avi,17.520283460617065,329.8925273823288,5.7924528301886795,57.75287599232147
True,cctv052x2004080619x00099.avi,17.496853828430176,329.4139583155794,4.415094339622642,63.29696125476877
True,cctv052x2004080619x00100.avi,16.847450733184814,323.2597662852361,5.788461538461538,55.337348435648934
True,cctv052x2004080619x00101.avi,17.458762645721436,328.70244530012025,6.30188679245283,51.570731028983694
True,cctv052x2004080619x00102.avi,18.62162947654724,357.4232000571031,8.192307692307692,46.98264817816591
True,cctv052x2004080619x00103.avi,18.22591280937195,343.1390141541103,6.2075471698113205,64.05096288328966
True,cctv052x2004080619x00104.avi,18.056002616882324,339.9967742416094,6.188679245283019,62.055338637467614
True,cctv052x2004080620x00105.avi,16.759267330169678,321.5954624689542,5.846153846153846,70.93073565086851
True,cctv052x2004080620x00106.avi,17.59753942489624,331.03229864588326,6.150943396226415,56.27366485900988
True,cctv052x2004080620x00107.avi,18.247859716415405,343.5897152378874,4.528301886792453,53.74600139466763
