success,video_name,duration,bandwidth_kbps,avg_processing_time_ms,avg_vehicle_count,avg_speed,edge_frames,cloud_frames,edge_percentage
True,cctv052x2004080620x00107.avi,10.230898380279541,200,190.81101777418604,3.150943396226415,5.413163904309525,53,0,100.0
True,cctv052x2004080619x00102.avi,10.80164623260498,200,205.4887184729943,2.9423076923076925,15.56939065177504,52,0,100.0
True,cctv052x2004080516x01640.avi,11.456098079681396,250,237.2044175863266,4.229166666666667,9.728513061038162,48,0,100.0
True,cctv052x2004080516x01639.avi,12.173262596130371,200,228.4048503299929,6.226415094339623,10.610914710828704,53,0,100.0
True,cctv052x2004080620x00106.avi,13.424258947372437,200,251.4754331336831,5.264150943396227,10.919746315970182,53,0,100.0
True,cctv052x2004080620x00105.avi,14.032442331314087,250,268.7349319458008,4.134615384615385,15.813523423729494,52,0,100.0
True,cctv052x2004080619x00104.avi,14.501895666122437,200,272.37633939059276,3.981132075471698,17.464129514322405,53,0,100.0
True,cctv052x2004080619x00103.avi,15.017752885818481,100,282.1467867437399,5.660377358490566,12.105637130781487,53,0,100.0
True,cctv052x2004080516x01642.avi,15.296222925186157,200,298.52826455060176,4.96078431372549,4.940360802415524,51,0,100.0
True,cctv052x2004080619x00100.avi,28.63508892059326,400,549.6259606801547,5.788461538461538,58.6088501159847,0,52,0.0
True,cctv052x2004080619x00099.avi,28.975075483322144,400,545.6527494034677,4.415094339622642,59.008904942572585,0,53,0.0
True,cctv052x2004080619x00098.avi,29.239632844924927,300,549.0001687463724,5.7924528301886795,61.937327339235,0,53,0.0
True,cctv052x2004080619x00101.avi,29.777825832366943,400,560.8508182021807,6.30188679245283,55.986950886998194,0,53,0.0
True,cctv052x2004080516x01641.avi,30.244983911514282,400,580.7158946990967,15.096153846153847,35.021849373882155,0,52,0.0
True,cctv052x2004080516x01638.avi,30.392026901245117,500,572.5278899354755,12.18867924528302,48.47054347047572,0,53,0.0
