frame,processing_time_ms,vehicle_count,avg_speed,congestion
0,113.26074600219727,0,0.0,False
1,66.69044494628906,0,0.0,False
2,55.394887924194336,0,0.0,False
3,59.94749069213867,0,0.0,False
4,64.53776359558105,0,0.0,False
5,59.61465835571289,14,0.0,False
6,74.94902610778809,11,0.0,False
7,78.5214900970459,10,0.0,False
8,75.15525817871094,7,108.63850383716243,False
9,67.89231300354004,7,94.83856567254337,False
10,69.27704811096191,16,108.83345538828733,False
11,86.73620223999023,10,95.64287251538298,False
12,75.05273818969727,10,81.50243616124705,False
13,72.12543487548828,7,107.3391619885102,False
14,83.1298828125,9,90.99092035044801,False
15,83.39166641235352,6,89.37749335756969,False
16,74.84078407287598,8,62.052496722876086,False
17,94.87271308898926,6,64.17907479222502,False
18,88.34528923034668,7,53.037323187690596,False
19,90.46697616577148,10,84.79546171827386,False
20,133.31246376037598,12,83.43435577882795,False
21,71.70534133911133,10,84.5292323036005,False
22,65.45615196228027,12,82.42428589497335,False
23,72.53217697143555,11,57.696385721986594,False
24,79.68521118164062,16,78.01995912067723,False
25,64.38684463500977,13,68.94564765249427,False
26,72.87049293518066,10,95.48248792153284,False
27,66.44129753112793,13,79.48727551743768,False
28,68.06683540344238,13,81.86550232173677,False
29,63.80152702331543,13,70.2323435287331,False
30,77.40592956542969,13,64.65597808402394,False
31,85.15715599060059,11,56.32016045408305,False
32,71.49624824523926,9,43.77349273642755,False
33,75.05536079406738,14,45.073877104492595,False
34,78.81927490234375,11,44.98054112357649,False
35,71.87390327453613,15,54.44209758562277,False
36,98.87242317199707,19,55.80433153895322,False
37,83.20069313049316,18,56.17820636260504,False
38,69.84162330627441,16,77.2403226287479,False
39,54.502010345458984,17,60.23609919973691,False
40,50.67038536071777,15,54.35171989185096,False
41,53.241729736328125,14,48.683644625456616,False
42,59.8149299621582,12,42.002508144495515,False
43,76.09868049621582,14,42.998219057117744,False
44,76.12991333007812,13,36.3366724753124,False
45,80.28173446655273,15,41.73086011041855,False
46,77.82173156738281,17,52.1692952253955,False
47,74.5091438293457,18,48.96321362347366,False
48,81.68554306030273,15,54.307677740074595,False
49,92.30208396911621,11,46.24609219249624,False
50,82.76820182800293,11,55.59783522517681,False
51,83.14299583435059,11,49.39202506997934,False
52,86.38525009155273,9,56.423203674163624,False
