frame,processing_time_ms,vehicle_count,avg_speed,congestion
0,120.63121795654297,0,0.0,False
1,86.2894058227539,0,0.0,False
2,64.52703475952148,0,0.0,False
3,76.6298770904541,0,0.0,False
4,68.91751289367676,0,0.0,False
5,69.68903541564941,9,0.0,False
6,68.50600242614746,5,0.0,False
7,49.43537712097168,5,0.0,False
8,85.00981330871582,2,0.0,False
9,82.04364776611328,1,52.95020018329377,False
10,72.41272926330566,5,48.16031966947175,False
11,63.622474670410156,6,47.33884722833461,False
12,52.37245559692383,6,67.74485146151999,False
13,91.74108505249023,6,119.02153790733738,False
14,87.2495174407959,9,90.76756828044019,False
15,85.15620231628418,9,110.822819050926,False
16,84.78021621704102,8,67.15167820426153,False
17,75.85430145263672,9,64.40553178153554,False
18,71.95687294006348,13,60.23482396606685,False
19,104.22992706298828,13,44.043486078917965,False
20,99.7002124786377,11,56.70277700152231,False
21,137.4647617340088,13,55.686200575378095,False
22,106.27579689025879,15,76.45944794256353,False
23,76.03120803833008,11,73.0564272965161,False
24,85.23845672607422,17,79.15519237704693,False
25,84.76495742797852,9,75.60769480935319,False
26,73.17829132080078,11,71.99393486817877,False
27,69.44751739501953,10,70.5064560539763,False
28,76.9195556640625,8,55.14969742053925,False
29,63.64750862121582,9,72.57848965119608,False
30,79.84542846679688,10,68.10447944145582,False
31,74.94568824768066,8,58.66508194019764,False
32,85.4485034942627,12,81.66985368544127,False
33,71.49863243103027,10,75.48006126652876,False
34,78.76205444335938,12,76.14853374890788,False
35,72.0376968383789,9,59.26977107050284,False
36,74.7077465057373,8,73.28625362600579,False
37,94.12145614624023,8,68.7635033378467,False
38,82.73100852966309,8,86.63358095883238,False
39,58.99453163146973,8,66.23842409650527,False
40,51.15079879760742,9,60.28037501817391,False
41,58.12478065490723,9,49.819290276589285,False
42,58.41493606567383,10,46.97133838707211,False
43,78.08041572570801,11,54.642217518240585,False
44,65.94347953796387,11,56.703432496779584,False
45,84.45024490356445,9,46.67479189201455,False
46,77.60238647460938,9,57.08635792146782,False
47,73.42720031738281,10,47.76175679697049,False
48,67.7952766418457,11,52.327287305819944,False
49,77.6979923248291,10,51.48207133789685,False
50,100.13794898986816,12,65.31616192589613,False
51,81.07519149780273,14,48.33553297484841,False
