frame,processing_time_ms,vehicle_count,avg_speed,congestion
0,107.01680183410645,0,0.0,False
1,69.10490989685059,0,0.0,False
2,72.14498519897461,0,0.0,False
3,69.32663917541504,0,0.0,False
4,66.71524047851562,0,0.0,False
5,79.76579666137695,4,0.0,False
6,62.72315979003906,7,0.0,False
7,75.1805305480957,6,0.0,False
8,56.946754455566406,5,0.0,False
9,54.48603630065918,6,95.90516616260689,False
10,73.22430610656738,6,74.81636791972248,False
11,70.44005393981934,4,90.8208053015133,False
12,81.22134208679199,4,87.20101024336333,False
13,87.2800350189209,8,115.61260466015933,False
14,74.08523559570312,8,98.4620576058192,False
15,71.46382331848145,6,91.94126718842283,False
16,63.8422966003418,6,86.5161947341152,False
17,89.56241607666016,6,78.80039065155891,False
18,79.3612003326416,9,71.66453762920864,False
19,82.33022689819336,8,71.17996522407518,False
20,77.55517959594727,10,54.21416054656868,False
21,74.81169700622559,10,60.49937963736906,False
22,75.47235488891602,9,63.807527710512936,False
23,88.9277458190918,8,54.44248120839658,False
24,83.97436141967773,9,51.971679529233256,False
25,85.0975513458252,11,54.6040318713214,False
26,149.70111846923828,12,52.20371735344152,False
27,71.22182846069336,14,50.59549840110111,False
28,82.55672454833984,11,53.760946599648015,False
29,76.7524242401123,12,41.26735168087708,False
30,54.03947830200195,12,37.7453494655146,False
31,61.74516677856445,11,29.97155985365052,False
32,62.209129333496094,13,45.816516883666885,False
33,75.61540603637695,16,52.05696704135198,False
34,59.98539924621582,18,54.36271417838642,False
35,72.01910018920898,19,65.06066456692172,False
36,84.83242988586426,16,56.80562264661207,False
37,87.69822120666504,17,62.124629292417694,False
38,78.60660552978516,17,54.83179328985968,False
39,75.47116279602051,15,53.516907368216295,False
40,68.59755516052246,17,49.22782635722491,False
41,79.78343963623047,20,61.026453752214614,False
42,92.74148941040039,21,59.460461932245074,False
43,85.9379768371582,17,60.81449694937991,False
44,86.87615394592285,22,58.11704966340041,False
45,76.47085189819336,21,60.053884028503234,False
46,69.43869590759277,16,55.60855542945565,False
47,79.87236976623535,19,52.4066928028265,False
48,81.4354419708252,20,57.5546280633008,False
49,85.05463600158691,21,63.491232691295785,False
50,87.59832382202148,24,73.51791466162494,False
51,71.99788093566895,22,75.53992963670348,False
52,75.64449310302734,21,64.88875416928381,False
