frame,processing_time_ms,vehicle_count,avg_speed,congestion
0,266.57700538635254,0,0.0,False
1,72.8447437286377,0,0.0,False
2,67.36159324645996,0,0.0,False
3,62.30902671813965,0,0.0,False
4,42.931556701660156,0,0.0,False
5,63.07172775268555,10,0.0,False
6,69.67496871948242,8,0.0,False
7,69.427490234375,6,0.0,False
8,68.939208984375,6,139.75000980581643,False
9,64.86797332763672,9,118.71352403979759,False
10,67.92044639587402,10,84.16125562454131,False
11,84.20681953430176,11,70.81647232180786,False
12,75.5624771118164,12,87.07653587961322,False
13,69.10896301269531,5,109.34422220822769,False
14,68.93539428710938,6,93.42613391181153,False
15,76.04694366455078,8,55.95791418738607,False
16,75.40631294250488,9,63.135846871183105,False
17,73.75836372375488,12,62.70302756602403,False
18,76.54404640197754,13,80.51656002317145,False
19,77.1036148071289,12,81.87470116350772,False
20,74.74756240844727,8,92.45230005080724,False
21,77.61073112487793,9,83.76633414204609,False
22,80.30176162719727,10,66.39156458169953,False
23,65.26613235473633,9,74.08732174367498,False
24,62.35051155090332,9,70.76308108149561,False
25,47.64914512634277,8,56.27125723613426,False
26,52.34861373901367,11,59.1222940244045,False
27,74.53417778015137,5,40.553468805721415,False
28,76.5984058380127,9,48.316249987601466,False
29,65.35959243774414,11,57.813910923381236,False
30,58.94160270690918,8,50.444298275252436,False
31,73.90618324279785,9,44.19293338976968,False
32,51.07474327087402,5,41.75318287037255,False
33,46.12112045288086,5,53.657940132794785,False
34,52.057743072509766,6,52.059455150575836,False
35,71.1507797241211,6,43.25929154602495,False
36,76.46846771240234,8,44.3875491806921,False
37,54.1844367980957,10,52.69232436848481,False
38,89.66922760009766,11,33.96999853069527,False
39,82.5650691986084,9,43.17048572485145,False
40,83.00161361694336,9,43.78883278970351,False
41,70.20735740661621,11,71.71489287477831,False
42,83.16850662231445,15,61.2649022611794,False
43,94.05946731567383,19,57.62921293238033,False
44,87.04686164855957,14,46.334480937940455,False
45,82.59415626525879,14,41.12397617201418,False
46,65.18721580505371,11,40.01178366203031,False
47,75.36602020263672,12,67.87647501794913,False
48,84.69438552856445,13,60.63081925608771,False
49,75.9890079498291,17,72.72333818742736,False
50,77.40283012390137,16,72.50370054759495,False
51,82.5035572052002,15,62.52449094342893,False
52,72.2496509552002,15,58.237405032352996,False
